dataset_key,scenario,k_true,data_seed,k_model,sampler,n_chains,slot,post_mean,post_std,ci_low,ci_high,true_weight,in_ci
kt3_s01,3comp_equal,3,1,5,bayesm,2,0,0.3681532378325503,0.0289880044613157,0.3112039670901089,0.424056550793235,0.3333333333333333,True
kt3_s01,3comp_equal,3,1,5,bayesm,2,1,0.3142202911912742,0.0388811313098516,0.2134376817477316,0.3808604499451976,0.3333333333333333,True
kt3_s01,3comp_equal,3,1,5,bayesm,2,2,0.2908768154914838,0.0320946215624074,0.2280730924455647,0.3529653783325577,0.3333333333333333,True
kt3_s01,3comp_equal,3,1,5,bayesm,2,3,0.0195822094549914,0.0263759624715134,0.0002116549795772,0.1125023625608035,,
kt3_s01,3comp_equal,3,1,5,bayesm,2,4,0.0071674460297003,0.0157793933219895,0.0001431842146429,0.0331826823155406,,
kt3_s02,3comp_equal,3,2,5,bayesm,2,0,0.7093034678786792,0.0287437460450813,0.64917943750377,0.7618253236116477,0.3333333333333333,False
kt3_s02,3comp_equal,3,2,5,bayesm,2,1,0.2570695634202385,0.0355731538354221,0.1732660011728284,0.3184622427714362,0.3333333333333333,False
kt3_s02,3comp_equal,3,2,5,bayesm,2,2,0.0209956901503732,0.0251350142045108,0.0002374622300838,0.0925490068742446,0.3333333333333333,False
kt3_s02,3comp_equal,3,2,5,bayesm,2,3,0.0080924259283524,0.0104197353118627,0.0001597813305822,0.0365583936809549,,
kt3_s02,3comp_equal,3,2,5,bayesm,2,4,0.0045388526223566,0.0065694875272817,9.908794511992236e-05,0.0184891115660949,,
kt3_s03,3comp_equal,3,3,5,bayesm,2,0,0.3346980200657031,0.0323868706587615,0.2684413772497417,0.3920138761318296,0.3333333333333333,True
kt3_s03,3comp_equal,3,3,5,bayesm,2,1,0.3239552342507412,0.0445485362923723,0.2039105978036621,0.394126097203643,0.3333333333333333,True
kt3_s03,3comp_equal,3,3,5,bayesm,2,2,0.3063455650749213,0.02667601592055,0.2556855494713346,0.3603903174501091,0.3333333333333333,True
kt3_s03,3comp_equal,3,3,5,bayesm,2,3,0.0263487661971897,0.036894833200081,0.0001902230109939,0.1437418795113511,,
kt3_s03,3comp_equal,3,3,5,bayesm,2,4,0.0086524144114447,0.0164451232147058,0.0001240919780086,0.0499381666853547,,
kt3_s04,3comp_equal,3,4,5,bayesm,2,0,0.3525303067475018,0.0277312201144568,0.2991005730082901,0.4066895579831002,0.3333333333333333,True
kt3_s04,3comp_equal,3,4,5,bayesm,2,1,0.3298871166166605,0.0332889501905498,0.2608524525798549,0.3909370166221052,0.3333333333333333,True
kt3_s04,3comp_equal,3,4,5,bayesm,2,2,0.2942397696757625,0.0282294062216608,0.2397221252638998,0.3481720067956907,0.3333333333333333,True
kt3_s04,3comp_equal,3,4,5,bayesm,2,3,0.0148115650218388,0.0202875351862569,0.0001813601650003,0.0686314159886721,,
kt3_s04,3comp_equal,3,4,5,bayesm,2,4,0.0085312419382363,0.0125321393773145,0.0001356212246463,0.0350302998429462,,
kt3_s05,3comp_equal,3,5,5,bayesm,2,0,0.3617984824854299,0.0429123512897597,0.2389314849214552,0.4283446757286533,0.3333333333333333,True
kt3_s05,3comp_equal,3,5,5,bayesm,2,1,0.3048619407657656,0.044022591156683,0.1814887641435553,0.3708090559311733,0.3333333333333333,True
kt3_s05,3comp_equal,3,5,5,bayesm,2,2,0.286728274082112,0.0304126366681426,0.2246768267075198,0.3423736731268608,0.3333333333333333,True
kt3_s05,3comp_equal,3,5,5,bayesm,2,3,0.0297041112478018,0.040391216392543,0.000275158270574,0.1476586142480652,,
kt3_s05,3comp_equal,3,5,5,bayesm,2,4,0.0169071914188904,0.0272309798365137,0.0002221107488228,0.1032614612302385,,
kt3_s06,3comp_equal,3,6,5,bayesm,2,0,0.3421474411701076,0.0288631427089108,0.285432006227903,0.4001863867229623,0.3333333333333333,True
kt3_s06,3comp_equal,3,6,5,bayesm,2,1,0.3313452773377986,0.0286977503822457,0.2762610608904913,0.387834650053048,0.3333333333333333,True
kt3_s06,3comp_equal,3,6,5,bayesm,2,2,0.3132035947571289,0.0326788634194267,0.2389920530478414,0.369948513564879,0.3333333333333333,True
kt3_s06,3comp_equal,3,6,5,bayesm,2,3,0.0080719814053777,0.0194779086265034,0.0001129074967879,0.0760818944345899,,
kt3_s06,3comp_equal,3,6,5,bayesm,2,4,0.005231705329587,0.0074107802800382,0.0001177744559495,0.0204076628148435,,
kt3_s07,3comp_equal,3,7,5,bayesm,2,0,0.3735015310973978,0.1313108728066936,0.1291772784561338,0.6556162155428646,0.3333333333333333,True
kt3_s07,3comp_equal,3,7,5,bayesm,2,1,0.3322360231773077,0.0700900391721932,0.2069563730338897,0.4874955475357589,0.3333333333333333,True
kt3_s07,3comp_equal,3,7,5,bayesm,2,2,0.2765658195954453,0.1384291772324507,0.0010603295381979,0.5233124983248041,0.3333333333333333,True
kt3_s07,3comp_equal,3,7,5,bayesm,2,3,0.011650050536515,0.0329364080939573,9.896564000707612e-05,0.121758603931348,,
kt3_s07,3comp_equal,3,7,5,bayesm,2,4,0.006046575593334,0.0102588803946968,0.0001127952042794,0.0286856019124818,,
kt3_s08,3comp_equal,3,8,5,bayesm,2,0,0.3993150755929014,0.0435279679955006,0.3085801581253708,0.4803384084352051,0.3333333333333333,True
kt3_s08,3comp_equal,3,8,5,bayesm,2,1,0.3174475596075069,0.0377929464078899,0.2219856577306844,0.3794485234966031,0.3333333333333333,True
kt3_s08,3comp_equal,3,8,5,bayesm,2,2,0.2413005972106901,0.0335915008597634,0.1774566263085444,0.3094600943170743,0.3333333333333333,False
kt3_s08,3comp_equal,3,8,5,bayesm,2,3,0.0271262137101141,0.0257037596872046,0.0007194154291361,0.0881516068346603,,
kt3_s08,3comp_equal,3,8,5,bayesm,2,4,0.0148105538787874,0.0277830982601879,0.0001252462174491,0.1034827723731669,,
kt3_s09,3comp_equal,3,9,5,bayesm,2,0,0.3598483974341037,0.0381882041542946,0.2663667989926342,0.4246406851094828,0.3333333333333333,True
kt3_s09,3comp_equal,3,9,5,bayesm,2,1,0.3242293641631335,0.036305354045637,0.2452565582306944,0.3909087312215069,0.3333333333333333,True
kt3_s09,3comp_equal,3,9,5,bayesm,2,2,0.2943028942324502,0.0288142998553145,0.238998369140039,0.3520544010047208,0.3333333333333333,True
kt3_s09,3comp_equal,3,9,5,bayesm,2,3,0.0122157177710361,0.0265280445413816,0.0001172743926897,0.1096102341753324,,
kt3_s09,3comp_equal,3,9,5,bayesm,2,4,0.0094036263992763,0.0209091874766438,0.0001115500953434,0.0821201960569369,,
kt3_s100,3comp_equal,3,100,5,bayesm,2,0,0.3812824231978062,0.0407582799489172,0.2760758256815339,0.4474404387111382,0.3333333333333333,True
kt3_s100,3comp_equal,3,100,5,bayesm,2,1,0.3214278226399489,0.0356748255706503,0.2407732920121122,0.3848194563274433,0.3333333333333333,True
kt3_s100,3comp_equal,3,100,5,bayesm,2,2,0.2756633725636987,0.0259604785020001,0.2268183735497412,0.3282456064637305,0.3333333333333333,False
kt3_s100,3comp_equal,3,100,5,bayesm,2,3,0.011826449063901,0.0309283127489203,0.0001082648442983,0.1332703967922193,,
kt3_s100,3comp_equal,3,100,5,bayesm,2,4,0.009799932534645,0.0221426805615002,0.0001320687679436,0.0779756290270225,,
kt3_s10,3comp_equal,3,10,5,bayesm,2,0,0.3468401624910835,0.0308810080180425,0.2869864017011184,0.4033654323094005,0.3333333333333333,True
kt3_s10,3comp_equal,3,10,5,bayesm,2,1,0.3385053322512751,0.0298129768495369,0.2804631779731044,0.3951135940107178,0.3333333333333333,True
kt3_s10,3comp_equal,3,10,5,bayesm,2,2,0.2781674980120135,0.0433998177716561,0.1702294624269262,0.3459558014307617,0.3333333333333333,True
kt3_s10,3comp_equal,3,10,5,bayesm,2,3,0.0244555847524073,0.0348917717652259,0.0002514898595618,0.1282841671271211,,
kt3_s10,3comp_equal,3,10,5,bayesm,2,4,0.0120314224932205,0.0188546783112627,0.0001791979509883,0.06583175325375,,
kt3_s11,3comp_equal,3,11,5,bayesm,2,0,0.3327972215562053,0.0344781476379938,0.262325870860486,0.3964807620874481,0.3333333333333333,True
kt3_s11,3comp_equal,3,11,5,bayesm,2,1,0.3105046295224332,0.0531856137881013,0.1873387343796617,0.3916666039043612,0.3333333333333333,True
kt3_s11,3comp_equal,3,11,5,bayesm,2,2,0.3087341368448993,0.0316893528461491,0.2484864732845786,0.3730773418565947,0.3333333333333333,True
kt3_s11,3comp_equal,3,11,5,bayesm,2,3,0.0265993405933733,0.042781849783205,0.0001422016184327,0.1459007327290127,,
kt3_s11,3comp_equal,3,11,5,bayesm,2,4,0.0213646714830887,0.0262713157428183,0.0011486103652789,0.1064861778243993,,
kt3_s12,3comp_equal,3,12,5,bayesm,2,0,0.3655814709347598,0.028774055422478,0.3100898969053002,0.4206676279384713,0.3333333333333333,True
kt3_s12,3comp_equal,3,12,5,bayesm,2,1,0.314041205611438,0.0297787956814858,0.2575348106859272,0.3723723659681202,0.3333333333333333,True
kt3_s12,3comp_equal,3,12,5,bayesm,2,2,0.3079070229239132,0.0322356332352269,0.2445770947138451,0.367855673155083,0.3333333333333333,True
kt3_s12,3comp_equal,3,12,5,bayesm,2,3,0.0087474854849436,0.0193901974872057,0.0001638806038128,0.0623285485517559,,
kt3_s12,3comp_equal,3,12,5,bayesm,2,4,0.0037228150449453,0.0067310189560193,8.686929234947584e-05,0.0128637933820241,,
kt3_s13,3comp_equal,3,13,5,bayesm,2,0,0.3344959409981888,0.0268909348949808,0.2833002302383648,0.3880835469038372,0.3333333333333333,True
kt3_s13,3comp_equal,3,13,5,bayesm,2,1,0.328948740385341,0.0293339275718523,0.272677611671757,0.3842450924580089,0.3333333333333333,True
kt3_s13,3comp_equal,3,13,5,bayesm,2,2,0.3133115842784572,0.0415711033906902,0.1994877290302982,0.3777006213276983,0.3333333333333333,True
kt3_s13,3comp_equal,3,13,5,bayesm,2,3,0.0151988322037214,0.0312962888516598,0.0001133511715211,0.1241675569236847,,
kt3_s13,3comp_equal,3,13,5,bayesm,2,4,0.0080449021342915,0.0174355541589622,0.0001204421318136,0.0629932145442554,,
