dataset_key,scenario,k_true,data_seed,k_model,sampler,n_chains,stage,rank,pvec_mean
kt1_s31,1comp,1,31,5,bayesm,2,after,3,0.0042112879203687
kt1_s31,1comp,1,31,5,bayesm,2,after,4,0.0034472801238083
kt1_s32,1comp,1,32,5,bayesm,2,before,0,0.5221219091121786
kt1_s32,1comp,1,32,5,bayesm,2,before,1,0.3445804442184833
kt1_s32,1comp,1,32,5,bayesm,2,before,2,0.0927573979369348
kt1_s32,1comp,1,32,5,bayesm,2,before,3,0.0309720021199429
kt1_s32,1comp,1,32,5,bayesm,2,before,4,0.0095682466124618
kt1_s32,1comp,1,32,5,bayesm,2,after,0,0.8989753879179067
kt1_s32,1comp,1,32,5,bayesm,2,after,1,0.0573518947780161
kt1_s32,1comp,1,32,5,bayesm,2,after,2,0.0323296045572503
kt1_s32,1comp,1,32,5,bayesm,2,after,3,0.0070207954335786
kt1_s32,1comp,1,32,5,bayesm,2,after,4,0.0043223173132481
kt1_s33,1comp,1,33,5,bayesm,2,before,0,0.4948577871102338
kt1_s33,1comp,1,33,5,bayesm,2,before,1,0.4915524147820891
kt1_s33,1comp,1,33,5,bayesm,2,before,2,0.0053689184934058
kt1_s33,1comp,1,33,5,bayesm,2,before,3,0.0044010322426383
kt1_s33,1comp,1,33,5,bayesm,2,before,4,0.0038198473716324
kt1_s33,1comp,1,33,5,bayesm,2,after,0,0.9807317513717664
kt1_s33,1comp,1,33,5,bayesm,2,after,1,0.0072497750206996
kt1_s33,1comp,1,33,5,bayesm,2,after,2,0.0048155028804819
kt1_s33,1comp,1,33,5,bayesm,2,after,3,0.0038516994696937
kt1_s33,1comp,1,33,5,bayesm,2,after,4,0.0033512712573583
kt1_s34,1comp,1,34,5,bayesm,2,before,0,0.9221407534593264
kt1_s34,1comp,1,34,5,bayesm,2,before,1,0.034259186585706
kt1_s34,1comp,1,34,5,bayesm,2,before,2,0.0183868026842952
kt1_s34,1comp,1,34,5,bayesm,2,before,3,0.0162283215578762
kt1_s34,1comp,1,34,5,bayesm,2,before,4,0.0089849357127946
kt1_s34,1comp,1,34,5,bayesm,2,after,0,0.922140753459328
kt1_s34,1comp,1,34,5,bayesm,2,after,1,0.034259186585706
kt1_s34,1comp,1,34,5,bayesm,2,after,2,0.0183868026842951
kt1_s34,1comp,1,34,5,bayesm,2,after,3,0.0162283215578761
kt1_s34,1comp,1,34,5,bayesm,2,after,4,0.0089849357127947
kt1_s35,1comp,1,35,5,bayesm,2,before,0,0.6588231175486086
kt1_s35,1comp,1,35,5,bayesm,2,before,1,0.2859134847445368
kt1_s35,1comp,1,35,5,bayesm,2,before,2,0.0362086584162793
kt1_s35,1comp,1,35,5,bayesm,2,before,3,0.0132064520373628
kt1_s35,1comp,1,35,5,bayesm,2,before,4,0.0058482872532125
kt1_s35,1comp,1,35,5,bayesm,2,after,0,0.9515361434191536
kt1_s35,1comp,1,35,5,bayesm,2,after,1,0.0189033553042871
kt1_s35,1comp,1,35,5,bayesm,2,after,2,0.0132069282886208
kt1_s35,1comp,1,35,5,bayesm,2,after,3,0.0105052857347257
kt1_s35,1comp,1,35,5,bayesm,2,after,4,0.0058482872532125
kt1_s36,1comp,1,36,5,bayesm,2,before,0,0.4647562567054175
