dataset_key,scenario,k_true,data_seed,k_model,sampler,n_chains,demo,param,post_mean,post_std,ci_low,ci_high,true_value,bias,in_ci
kt1_s101,1comp,1,101,5,bayesm,2,z1,Alt1,-0.801626577489267,0.0865920649616358,-0.9719288346110646,-0.6354568107545832,-0.5805265270525596,-0.2211000504367074,False
kt1_s101,1comp,1,101,5,bayesm,2,z1,Alt2,0.2250200683227082,0.1079466965678483,0.008805856287792,0.4367842102249633,0.1696379605995689,0.0553821077231393,True
kt1_s101,1comp,1,101,5,bayesm,2,z1,Alt3,-0.5543547817219059,0.092339468798972,-0.738447360909912,-0.3764111634257695,-0.4485302627940933,-0.1058245189278125,True
kt1_s101,1comp,1,101,5,bayesm,2,z1,Price,0.1480131617358619,0.107068899632853,-0.0607070850207763,0.3588402812661525,0.2163873535875897,-0.0683741918517278,True
kt1_s101,1comp,1,101,5,bayesm,2,z2,Alt1,-0.1911665253589974,0.0877345832126156,-0.3615245352193785,-0.0168359214432971,-0.1402164001745368,-0.0509501251844606,True
kt1_s101,1comp,1,101,5,bayesm,2,z2,Alt2,0.584416488383955,0.1103607280220535,0.36400551474077,0.801591595420742,0.5072665320510694,0.0771499563328855,True
kt1_s101,1comp,1,101,5,bayesm,2,z2,Alt3,0.556175046283799,0.0982459121329524,0.362987850070721,0.7504040401353039,0.4584578967929144,0.0977171494908846,True
kt1_s101,1comp,1,101,5,bayesm,2,z2,Price,1.0180335405986944,0.1179970462280144,0.7905386556197959,1.2534005792934475,1.0593765738903522,-0.0413430332916577,True
kt1_s10,1comp,1,10,5,bayesm,2,z1,Alt1,0.230259635845596,0.0985455589665915,0.0359266420881825,0.4236071424194924,0.2853467275086546,-0.0550870916630585,True
kt1_s10,1comp,1,10,5,bayesm,2,z1,Alt2,-0.5079292463678927,0.1148143663687076,-0.7322008397599346,-0.2855502895621349,-0.2564375961757051,-0.2514916501921875,False
kt1_s10,1comp,1,10,5,bayesm,2,z1,Alt3,0.1212971276126404,0.0886307735482841,-0.052483424116391,0.296053645955466,0.1378912114941899,-0.0165940838815495,True
