dataset_key,scenario,k_true,data_seed,k_model,sampler,n_chains,grid,param,retained_mass_model,retained_mass_true,Hellinger,KL,JSD,TVD,Wasserstein1
std_s21,standard,1,21,1,bayesm,2,chebyshev,Alt3,0.9999977455991916,0.9999998487297992,0.02564,0.00279,0.00065,0.02156,0.04096
std_s21,standard,1,21,1,bayesm,2,chebyshev,Price,0.9999999462060674,0.9999994266968562,0.05916,0.0131,0.00348,0.05863,0.10641
std_s22,standard,1,22,1,bayesm,2,full,Alt1,0.9999999999990292,0.999999999999996,0.01392,0.00078,0.00019,0.0146,0.03922
std_s22,standard,1,22,1,bayesm,2,full,Alt2,0.9999999999983322,0.9999999999720992,0.08029,0.02367,0.00637,0.08011,0.17383
std_s22,standard,1,22,1,bayesm,2,full,Alt3,0.9999999999980632,0.9999999999978796,0.06577,0.01621,0.0043,0.06692,0.10562
std_s22,standard,1,22,1,bayesm,2,full,Price,0.9999999999989528,0.9999999999999972,0.03145,0.00405,0.00099,0.03402,0.07003
std_s22,standard,1,22,1,bayesm,2,chebyshev,Alt1,0.99999841504025,0.9999995119085584,0.01392,0.00078,0.00019,0.0146,0.03921
std_s22,standard,1,22,1,bayesm,2,chebyshev,Alt2,0.9999999233507886,0.9999994266968562,0.08029,0.02367,0.00637,0.08011,0.17382
std_s22,standard,1,22,1,bayesm,2,chebyshev,Alt3,0.9999998152941094,0.9999994266968562,0.06577,0.01621,0.0043,0.06692,0.10562
std_s22,standard,1,22,1,bayesm,2,chebyshev,Price,0.9999986241465738,0.9999996741180718,0.03145,0.00405,0.00099,0.03402,0.07003
std_s23,standard,1,23,1,bayesm,2,full,Alt1,0.9999999999990165,0.9999999999999996,0.0173,0.00124,0.0003,0.0153,0.03004
std_s23,standard,1,23,1,bayesm,2,full,Alt2,0.9999999999949044,0.9999999999999905,0.0258,0.00279,0.00066,0.02347,0.04505
std_s23,standard,1,23,1,bayesm,2,full,Alt3,0.9999999999992446,1.0,0.01644,0.00115,0.00027,0.01175,0.01762
std_s23,standard,1,23,1,bayesm,2,full,Price,0.9999999999912422,0.99999999999899,0.01232,0.0006,0.00015,0.01361,0.04543
std_s23,standard,1,23,1,bayesm,2,chebyshev,Alt1,0.9999978939452664,0.9999996825987728,0.01729,0.00124,0.0003,0.0153,0.03003
