dataset_key,scenario,k_true,data_seed,k_model,sampler,n_chains,row,col,post_mean,post_std,ci_low,ci_high,true_value,empirical,abs_diff,in_ci
std_s76,standard,1,76,1,hmc,2,Alt3,Alt2,0.0920817032456398,0.0967025309801101,-0.0909967945888638,0.2912443399429318,0.0,-0.0901690219092774,0.0920817032456398,True
std_s76,standard,1,76,1,hmc,2,Alt3,Alt3,1.5537630319595337,0.1958745718002319,1.2080022364854812,1.9784477353096008,1.4251127292843715,2.2535981260970264,0.1286503026751622,True
std_s76,standard,1,76,1,hmc,2,Price,Alt1,0.1247057616710662,0.0850560143589973,-0.0414850467815995,0.2943266719579696,0.0,-0.1059295377235701,0.1247057616710662,True
std_s76,standard,1,76,1,hmc,2,Price,Alt2,0.0462738908827304,0.0663396641612052,-0.0825207225978374,0.1788146808743474,0.0,0.0347763876728851,0.0462738908827304,True
std_s76,standard,1,76,1,hmc,2,Price,Alt3,-0.130524680018425,0.0959211811423301,-0.323121890425682,0.0554817204363643,0.0,0.2826219246769018,0.130524680018425,True
std_s76,standard,1,76,1,hmc,2,Price,Price,0.904811143875122,0.0991782769560813,0.7278356552124023,1.1169053584337234,1.0361064459733895,1.1898916285896173,0.1312953020982676,True
std_s77,standard,1,77,1,hmc,2,Alt1,Alt1,1.0672156810760498,0.1598341464996338,0.786473174393177,1.4107327878475182,0.9279846190621344,1.630546278419857,0.1392310620139153,True
std_s77,standard,1,77,1,hmc,2,Alt2,Alt1,-0.027103766798973,0.0925735756754875,-0.2070990242063999,0.1584913332015272,0.0,-0.2405585033342705,0.027103766798973,True
std_s77,standard,1,77,1,hmc,2,Alt2,Alt2,0.6334986090660095,0.1099128350615501,0.4357387244701385,0.8695674404501914,0.6352537768658593,0.8997041483841504,0.0017551677998497,True
std_s77,standard,1,77,1,hmc,2,Alt3,Alt1,-0.0989376679062843,0.1211842000484466,-0.330264589190483,0.1447920650243759,0.0,0.1405998056327856,0.0989376679062843,True
std_s77,standard,1,77,1,hmc,2,Alt3,Alt2,-0.0078099593520164,0.1012177988886833,-0.2005364000797271,0.1953537795692679,0.0,-0.5087311648369094,0.0078099593520164,True
std_s77,standard,1,77,1,hmc,2,Alt3,Alt3,1.432839035987854,0.1852054297924041,1.1023689210414886,1.819727173447608,1.4793055900826213,2.449109431067005,0.0464665540947673,True
std_s77,standard,1,77,1,hmc,2,Price,Alt1,-0.0461192093789577,0.1236438453197479,-0.2884535618126392,0.2009475126862524,0.0,0.4829908528705078,0.0461192093789577,True
std_s77,standard,1,77,1,hmc,2,Price,Alt2,-0.0367970466613769,0.1092442795634269,-0.2569923795759677,0.1722292095422744,0.0,0.1024959167790858,0.0367970466613769,True
std_s77,standard,1,77,1,hmc,2,Price,Alt3,0.1643769294023513,0.1315391808748245,-0.0935652835294604,0.4252848483622073,0.0,-0.2562859214073399,0.1643769294023513,True
std_s77,standard,1,77,1,hmc,2,Price,Price,1.98712170124054,0.2030419260263443,1.623717612028122,2.415152543783188,1.99903177521561,2.545199484502749,0.0119100739750703,True
std_s78,standard,1,78,1,hmc,2,Alt1,Alt1,1.1728683710098269,0.1474611014127731,0.9126272559165954,1.4915437012910842,1.1340583484377502,2.062776954675572,0.0388100225720764,True
std_s78,standard,1,78,1,hmc,2,Alt2,Alt1,0.0843810066580772,0.0936180800199508,-0.0905838403850793,0.275670566409826,0.0,-0.3834182680822436,0.0843810066580772,True
std_s78,standard,1,78,1,hmc,2,Alt2,Alt2,0.753172755241394,0.1171673536300659,0.5462525576353073,0.9995342731475828,0.5350494898471362,1.2171163679392492,0.2181232653942578,False
std_s78,standard,1,78,1,hmc,2,Alt3,Alt1,0.0382115170359611,0.0829939842224121,-0.1161839064210653,0.2085771504789588,0.0,0.209723366574357,0.0382115170359611,True
std_s78,standard,1,78,1,hmc,2,Alt3,Alt2,-0.0494695417582988,0.0694331601262092,-0.1816837579011917,0.0898267129436129,0.0,0.1038927740234411,0.0494695417582988,True
std_s78,standard,1,78,1,hmc,2,Alt3,Alt3,0.5492594242095947,0.0854981020092964,0.3980325527489185,0.7303657203912729,0.5097355310207861,0.6531550438709172,0.0395238931888086,True
