dataset_key,scenario,k_true,data_seed,k_model,sampler,n_chains,block,kernel_id,n_divergent,frac_divergent,max_treedepth,mean_treedepth,frac_max_treedepth,max_leapfrog,mean_leapfrog,mean_acceptance
kt1_s29,1comp,1,29,5,nuts,1,mu_k,kernel_02,733,0.0733,10.0,6.1694,0.0346,1023.0,134.6424,0.7371593117713928
kt1_s29,1comp,1,29,5,nuts,1,Delta,kernel_03,0,0.0,6.0,3.073,0.0,55.0,7.6774,0.9374107718467712
kt1_s29,1comp,1,29,5,nuts,1,beta_i,kernel_04,8,0.0008,6.0,5.8071,0.0,63.0,56.8204,0.789845883846283
kt1_s30,1comp,1,30,5,nuts,1,pvec_latent,kernel_00,0,0.0,5.0,2.8586,0.0,31.0,6.505,0.9298195242881776
kt1_s30,1comp,1,30,5,nuts,1,sigma_inv_chol_k_latent,kernel_01,215,0.0215,6.0,3.9825,0.0,63.0,15.0172,0.8255813717842102
kt1_s30,1comp,1,30,5,nuts,1,mu_k,kernel_02,0,0.0,9.0,4.6532,0.0,367.0,27.8784,0.8842461705207825
kt1_s30,1comp,1,30,5,nuts,1,Delta,kernel_03,0,0.0,6.0,3.217,0.0,47.0,8.8834,0.8910062313079834
kt1_s30,1comp,1,30,5,nuts,1,beta_i,kernel_04,0,0.0,8.0,4.3804,0.0,255.0,21.232,0.8261631727218628
kt1_s31,1comp,1,31,5,nuts,1,pvec_latent,kernel_00,0,0.0,6.0,3.022,0.0,63.0,7.614,0.9480484127998352
kt1_s31,1comp,1,31,5,nuts,1,sigma_inv_chol_k_latent,kernel_01,567,0.0567,5.0,3.8695,0.0,31.0,14.0499,0.8038756251335144
kt1_s31,1comp,1,31,5,nuts,1,mu_k,kernel_02,1,0.0001,10.0,7.272,0.0102,1023.0,173.2222,0.9057796597480774
kt1_s31,1comp,1,31,5,nuts,1,Delta,kernel_03,0,0.0,4.0,2.8095,0.0,15.0,6.242,0.8753201961517334
kt1_s31,1comp,1,31,5,nuts,1,beta_i,kernel_04,0,0.0,6.0,5.9998,0.0,63.0,62.9936,0.9320433735847472
kt1_s32,1comp,1,32,5,nuts,1,pvec_latent,kernel_00,65,0.0065,5.0,2.7845,0.0,23.0,6.1569,0.8458557724952698
kt1_s32,1comp,1,32,5,nuts,1,sigma_inv_chol_k_latent,kernel_01,72,0.0072,6.0,4.9748,0.0,63.0,30.648,0.9288437366485596
kt1_s32,1comp,1,32,5,nuts,1,mu_k,kernel_02,276,0.0276,10.0,4.4538,0.0002,639.0,26.2643,0.753578245639801
kt1_s32,1comp,1,32,5,nuts,1,Delta,kernel_03,1,0.0001,5.0,2.6465,0.0,31.0,5.6253,0.7734411358833313
kt1_s32,1comp,1,32,5,nuts,1,beta_i,kernel_04,0,0.0,10.0,4.3199,0.0005,1023.0,21.264,0.8265222907066345
kt1_s33,1comp,1,33,5,nuts,1,pvec_latent,kernel_00,0,0.0,6.0,2.9682,0.0,63.0,7.2436,0.9401060342788696
kt1_s33,1comp,1,33,5,nuts,1,sigma_inv_chol_k_latent,kernel_01,298,0.0298,5.0,3.9585,0.0,19.0,14.6587,0.8079165816307068
kt1_s33,1comp,1,33,5,nuts,1,mu_k,kernel_02,1309,0.1309,10.0,5.2247,0.0002,863.0,53.0948,0.7615820169448853
kt1_s33,1comp,1,33,5,nuts,1,Delta,kernel_03,0,0.0,5.0,3.17,0.0,31.0,8.476,0.9227402210235596
kt1_s33,1comp,1,33,5,nuts,1,beta_i,kernel_04,0,0.0,7.0,5.776,0.0,127.0,55.8352,0.9185045957565308
kt1_s34,1comp,1,34,5,nuts,1,pvec_latent,kernel_00,58,0.0058,6.0,3.5324,0.0,47.0,11.6256,0.9381257891654968
kt1_s34,1comp,1,34,5,nuts,1,sigma_inv_chol_k_latent,kernel_01,271,0.0271,7.0,4.1463,0.0,95.0,17.8743,0.814551055431366
kt1_s34,1comp,1,34,5,nuts,1,mu_k,kernel_02,24,0.0024,9.0,4.6614,0.0,335.0,28.3982,0.8801220655441284
kt1_s34,1comp,1,34,5,nuts,1,Delta,kernel_03,0,0.0,6.0,3.2318,0.0,39.0,8.9764,0.9077425599098206
kt1_s34,1comp,1,34,5,nuts,1,beta_i,kernel_04,0,0.0,10.0,8.8561,0.0016,1023.0,474.5712,0.9549474716186525
kt1_s35,1comp,1,35,5,nuts,1,pvec_latent,kernel_00,9,0.0009,6.0,2.8388,0.0,39.0,6.43,0.9083892703056335
kt1_s35,1comp,1,35,5,nuts,1,sigma_inv_chol_k_latent,kernel_01,374,0.0374,4.0,3.946,0.0,15.0,14.5941,0.844785749912262
kt1_s35,1comp,1,35,5,nuts,1,mu_k,kernel_02,137,0.0137,8.0,4.5645,0.0,255.0,26.6213,0.768082857131958
kt1_s35,1comp,1,35,5,nuts,1,Delta,kernel_03,0,0.0,6.0,2.9994,0.0,39.0,7.118,0.9279308319091796
kt1_s35,1comp,1,35,5,nuts,1,beta_i,kernel_04,0,0.0,6.0,5.3229,0.0,63.0,41.3328,0.9231215119361876
kt1_s36,1comp,1,36,5,nuts,1,pvec_latent,kernel_00,0,0.0,6.0,3.8631,0.0,63.0,14.4528,0.9848130941390992
kt1_s36,1comp,1,36,5,nuts,1,sigma_inv_chol_k_latent,kernel_01,219,0.0219,5.0,4.72,0.0,31.0,26.8519,0.9132214784622192
