dataset_key,scenario,k_true,data_seed,k_model,sampler,n_chains,slot,matched_true,live,param,post_mean,post_std,ci_low,ci_high,true_value,abs_diff,in_ci
kt3_s48,3comp_equal,3,48,5,nuts,2,3,,False,Alt1,2.142043352127075,59.2590217590332,-105.33888244628906,115.44657402038574,,,
kt3_s48,3comp_equal,3,48,5,nuts,2,3,,False,Alt2,1.233833074569702,45.386417388916016,-84.15905075073242,89.39837017059308,,,
kt3_s48,3comp_equal,3,48,5,nuts,2,3,,False,Alt3,1.285106897354126,33.91050338745117,-63.57152252197265,70.15697135925284,,,
kt3_s48,3comp_equal,3,48,5,nuts,2,3,,False,Price,-0.1900947988033294,24.66134262084961,-46.0272891998291,47.55609254837035,,,
kt3_s48,3comp_equal,3,48,5,nuts,2,4,,False,Alt1,-0.3454350233078003,59.87019348144531,-121.01039371490478,109.92450675964336,,,
kt3_s48,3comp_equal,3,48,5,nuts,2,4,,False,Alt2,-0.0334685072302818,46.697208404541016,-85.68414402008057,84.8019559860229,,,
kt3_s48,3comp_equal,3,48,5,nuts,2,4,,False,Alt3,0.1723425537347793,33.4780158996582,-65.62920455932617,66.85262355804437,,,
kt3_s48,3comp_equal,3,48,5,nuts,2,4,,False,Price,0.4315365254878998,24.99655532836914,-48.48222856521606,48.81024971008298,,,
kt3_s49,3comp_equal,3,49,5,nuts,2,0,2.0,True,Alt1,3.02518630027771,0.1250920742750167,2.787179046869278,3.2743839502334597,2.181558617557017,0.843627682720693,False
kt3_s49,3comp_equal,3,49,5,nuts,2,0,2.0,True,Alt2,-7.20437479019165,0.5761010646820068,-8.436752724647523,-6.216112387180331,-7.157125756582638,0.0472490336090123,True
kt3_s49,3comp_equal,3,49,5,nuts,2,0,2.0,True,Alt3,-4.085360527038574,0.4321223795413971,-4.999988448619843,-3.3166720867156982,-9.729327207983236,5.643966680944661,False
kt3_s49,3comp_equal,3,49,5,nuts,2,0,2.0,True,Price,0.8304394483566284,0.1017464026808738,0.6282289311289787,1.0292689710855485,0.3318161097672371,0.4986233385893913,False
kt3_s49,3comp_equal,3,49,5,nuts,2,1,0.0,True,Alt1,1.9708943367004397,0.2106756567955017,1.5716176956892014,2.3902486324310304,2.065150034593095,0.0942556978926556,True
kt3_s49,3comp_equal,3,49,5,nuts,2,1,0.0,True,Alt2,1.030641794204712,0.1950197368860244,0.6531616270542144,1.4172155767679204,1.0143031537778244,0.0163386404268874,True
kt3_s49,3comp_equal,3,49,5,nuts,2,1,0.0,True,Alt3,-0.8629916906356812,0.2123509347438812,-1.2888157337903976,-0.4541288122534753,-0.6906588719412874,0.1723328186943937,True
kt3_s49,3comp_equal,3,49,5,nuts,2,1,0.0,True,Price,8.418750762939453,0.3836064636707306,7.693482458591461,9.192952919006348,8.460745346552196,0.0419945836127428,True
kt3_s49,3comp_equal,3,49,5,nuts,2,2,1.0,True,Alt1,8.636735916137695,67.1190414428711,-88.01077213287354,109.7535985946654,3.680127563847625,4.95660835229007,True
kt3_s49,3comp_equal,3,49,5,nuts,2,2,1.0,True,Alt2,-5.69509220123291,43.814151763916016,-86.01842956542968,74.97597560882545,-5.548543203213662,0.1465489980192478,True
kt3_s49,3comp_equal,3,49,5,nuts,2,2,1.0,True,Alt3,-1.8894082307815552,29.3205680847168,-58.00342206954956,54.73003110885606,-1.284318304806792,0.6050899259747631,True
kt3_s49,3comp_equal,3,49,5,nuts,2,2,1.0,True,Price,4.2208170890808105,24.4232177734375,-42.527447605133055,49.789910697937,1.303541936943959,2.917275152136852,True
kt3_s49,3comp_equal,3,49,5,nuts,2,3,,False,Alt1,1.36177659034729,50.289676666259766,-93.72555732727052,99.35600929260208,,,
kt3_s49,3comp_equal,3,49,5,nuts,2,3,,False,Alt2,2.3817718029022217,37.89501190185547,-71.05142860412597,76.37723407745345,,,
kt3_s49,3comp_equal,3,49,5,nuts,2,3,,False,Alt3,-1.1650322675704956,28.61697578430176,-56.86069345474243,55.9017621040341,,,
kt3_s49,3comp_equal,3,49,5,nuts,2,3,,False,Price,3.9347684383392334,25.181154251098636,-46.30650091171265,58.13921546936013,,,
kt3_s49,3comp_equal,3,49,5,nuts,2,4,,False,Alt1,-0.0426602065563201,89.40572357177734,-122.03445835113524,125.6541894912717,,,
kt3_s49,3comp_equal,3,49,5,nuts,2,4,,False,Alt2,-0.4182322323322296,38.82209396362305,-76.82605228424072,80.28263626098627,,,
kt3_s49,3comp_equal,3,49,5,nuts,2,4,,False,Alt3,0.1081384792923927,41.10628509521485,-61.29929676055908,64.28931198120101,,,
kt3_s49,3comp_equal,3,49,5,nuts,2,4,,False,Price,0.5231268405914307,29.930980682373047,-46.94406509399414,54.250022792816125,,,
kt3_s50,3comp_equal,3,50,5,nuts,2,0,0.0,True,Alt1,6.861982822418213,0.3633181750774383,6.130697238445282,7.667907238006592,5.984484815672058,0.8774980067461549,False
kt3_s50,3comp_equal,3,50,5,nuts,2,0,0.0,True,Alt2,6.815718173980713,0.3584655225276947,6.094228374958038,7.616857528686523,5.705997004301705,1.109721169679008,False
kt3_s50,3comp_equal,3,50,5,nuts,2,0,0.0,True,Alt3,1.347568392753601,0.3871111869812011,0.5270099133253098,2.051968711614608,0.7766198320343206,0.5709485607192805,True
kt3_s50,3comp_equal,3,50,5,nuts,2,0,0.0,True,Price,-1.4572843313217163,0.1543349474668502,-1.831540822982788,-1.155482998490334,-1.3465486198437366,0.1107357114779796,True
kt3_s50,3comp_equal,3,50,5,nuts,2,1,1.0,True,Alt1,0.4142032265663147,0.1896397024393081,0.0438281632959842,0.769311249256134,0.4242040479641438,0.010000821397829,True
kt3_s50,3comp_equal,3,50,5,nuts,2,1,1.0,True,Alt2,-4.462766170501709,0.3331831991672516,-5.298051738739014,-3.9305060803890246,-4.02395424182897,0.438811928672739,True
kt3_s50,3comp_equal,3,50,5,nuts,2,1,1.0,True,Alt3,5.29181718826294,0.2388119101524353,4.867011547088623,5.771798050403595,5.800241806536931,0.5084246182739918,False
kt3_s50,3comp_equal,3,50,5,nuts,2,1,1.0,True,Price,-3.6101460456848153,0.1782397180795669,-3.989682364463806,-3.312728881835937,-3.937488374641592,0.3273423289567776,True
